===== TABLA 1: 8 instancias x 5 semillas (parametros por defecto) =====
instancia,seed,fitness,factible,tiempo_ms
bacp8,1,1.875,SI,571.669
bacp8,2,1.875,SI,573.896
bacp8,3,1.875,SI,551.349
bacp8,4,1.875,SI,615.712
bacp8,5,1.875,SI,603.292
bacp10,1,2.4,SI,709.573
bacp10,2,2.4,SI,665.897
bacp10,3,2.4,SI,695.267
bacp10,4,2.4,SI,691.301
bacp10,5,2.4,SI,707.503
bacp12,1,4,SI,995.943
bacp12,2,2,SI,1072.48
bacp12,3,2,SI,1059.14
bacp12,4,4,SI,1033.07
bacp12,5,4,SI,1023.34
utfsm3,1,0.75,SI,159.248
utfsm3,2,0.75,SI,157.074
utfsm3,3,0.75,SI,161.116
utfsm3,4,0.75,SI,162.515
utfsm3,5,0.75,SI,168.737
utfsm2311,1,45,SI,1159.59
utfsm2311,2,55,SI,1076.62
utfsm2311,3,19,SI,1158.25
utfsm2311,4,97,SI,1066.66
utfsm2311,5,17,SI,1170.08
utfsm2920,1,2,SI,671.257
utfsm2920,2,2,SI,719.221
utfsm2920,3,2,SI,689.176
utfsm2920,4,2,SI,680.501
utfsm2920,5,2,SI,711.346
utfsm7310,1,2,SI,957.285
utfsm7310,2,0,SI,976.924
utfsm7310,3,2,SI,3821.88
utfsm7310,4,2,SI,931.73
utfsm7310,5,0,SI,934.523
utfsm7313,1,5.63636,SI,940.975
utfsm7313,2,9.63636,SI,936.204
utfsm7313,3,7.63636,SI,986.628
utfsm7313,4,11.6364,SI,981.199
utfsm7313,5,9.63636,SI,998.063

===== TABLA 2: comparacion de alpha (RCL del greedy) =====
instancia,alpha,seed,fitness,factible
bacp12,0.1,1,4,SI
bacp12,0.1,2,4,SI
bacp12,0.1,3,4,SI
bacp12,0.1,4,6,SI
bacp12,0.1,5,8,SI
bacp12,0.3,1,4,SI
bacp12,0.3,2,2,SI
bacp12,0.3,3,2,SI
bacp12,0.3,4,4,SI
bacp12,0.3,5,4,SI
bacp12,0.6,1,4,SI
bacp12,0.6,2,10,SI
bacp12,0.6,3,4,SI
bacp12,0.6,4,4,SI
bacp12,0.6,5,6,SI
bacp12,0.9,1,6,SI
bacp12,0.9,2,0,SI
bacp12,0.9,3,4,SI
bacp12,0.9,4,4,SI
bacp12,0.9,5,2,SI
utfsm2311,0.1,1,17,SI
utfsm2311,0.1,2,91,SI
utfsm2311,0.1,3,37,SI
utfsm2311,0.1,4,63,SI
utfsm2311,0.1,5,77,SI
utfsm2311,0.3,1,45,SI
utfsm2311,0.3,2,55,SI
utfsm2311,0.3,3,19,SI
utfsm2311,0.3,4,97,SI
utfsm2311,0.3,5,17,SI
utfsm2311,0.6,1,63,SI
utfsm2311,0.6,2,15,SI
utfsm2311,0.6,3,23,SI
utfsm2311,0.6,4,59,SI
utfsm2311,0.6,5,77,SI
utfsm2311,0.9,1,33,SI
utfsm2311,0.9,2,29,SI
utfsm2311,0.9,3,15,SI
utfsm2311,0.9,4,17,SI
utfsm2311,0.9,5,9,SI
utfsm7313,0.1,1,17.6364,SI
utfsm7313,0.1,2,7.63636,SI
utfsm7313,0.1,3,5.63636,SI
utfsm7313,0.1,4,9.63636,SI
utfsm7313,0.1,5,7.63636,SI
utfsm7313,0.3,1,5.63636,SI
utfsm7313,0.3,2,9.63636,SI
utfsm7313,0.3,3,7.63636,SI
utfsm7313,0.3,4,11.6364,SI
utfsm7313,0.3,5,9.63636,SI
utfsm7313,0.6,1,15.6364,SI
utfsm7313,0.6,2,13.6364,SI
utfsm7313,0.6,3,5.63636,SI
utfsm7313,0.6,4,17.6364,SI
utfsm7313,0.6,5,3.63636,SI
utfsm7313,0.9,1,9.63636,SI
utfsm7313,0.9,2,17.6364,SI
utfsm7313,0.9,3,7.63636,SI
utfsm7313,0.9,4,5.63636,SI
utfsm7313,0.9,5,5.63636,SI

===== TABLA 3: convergencia (calidad vs presupuesto/tiempo) en utfsm2311 =====
max_iter,seed,fitness,factible,tiempo_ms
1000,1,95,SI,114.293
1000,2,121,SI,109.41
1000,3,119,SI,116.092
1000,4,21,SI,108.467
1000,5,95,SI,109.629
5000,1,71,SI,527.076
5000,2,25,SI,530.363
5000,3,31,SI,554.674
5000,4,71,SI,567.686
5000,5,69,SI,526.625
20000,1,45,SI,1212.43
20000,2,55,SI,1169.64
20000,3,19,SI,1167.39
20000,4,97,SI,1084.85
20000,5,17,SI,1185.31
50000,1,45,SI,1171.15
50000,2,55,SI,1109.05
50000,3,19,SI,1181.64
50000,4,97,SI,1116.84
50000,5,17,SI,1273.93
200000,1,45,SI,1185.33
200000,2,55,SI,1110.91
200000,3,19,SI,1171.21
200000,4,97,SI,1100.33
200000,5,17,SI,1189.9
